51001,Accomack,VA
51003,Albemarle,VA
51005,Alleghany,VA
51007,Amelia,VA
51009,Amherst,VA
51011,Appomattox,VA
51013,Arlington,VA
51015,Augusta,VA
51017,Bath,VA
51019,Bedford,VA
51021,Bland,VA
51023,Botetourt,VA
51025,Brunswick,VA
51027,Buchanan,VA
51029,Buckingham,VA
51031,Campbell,VA
51033,Caroline,VA
51035,Carroll,VA
51036,Charles City,VA
51037,Charlotte,VA
51041,Chesterfield,VA
51043,Clarke,VA
51045,Craig,VA
51047,Culpeper,VA
51049,Cumberland,VA
51051,Dickenson,VA
51053,Dinwiddie,VA
51057,Essex,VA
51059,Fairfax,VA
51061,Fauquier,VA
51063,Floyd,VA
51065,Fluvanna,VA
51067,Franklin,VA
51069,Frederick,VA
51071,Giles,VA
51073,Gloucester,VA
51075,Goochland,VA
51077,Grayson,VA
51079,Greene,VA
51081,Greensville,VA
51083,Halifax,VA
51085,Hanover,VA
51087,Henrico,VA
51089,Henry,VA
51091,Highland,VA
51093,Isle of Wight,VA
51095,James City,VA
51097,King and Queen,VA
51099,King George,VA
51101,King William,VA
51103,Lancaster,VA
51105,Lee,VA
51107,Loudoun,VA
51109,Louisa,VA
51111,Lunenburg,VA
51113,Madison,VA
51115,Mathews,VA
51117,Mecklenburg,VA
51119,Middlesex,VA
51121,Montgomery,VA
51125,Nelson,VA
51127,New Kent,VA
51131,Northampton,VA
51133,Northumberland,VA
51135,Nottoway,VA
51137,Orange,VA
51139,Page,VA
51141,Patrick,VA
51143,Pittsylvania,VA
51145,Powhatan,VA
51147,Prince Edward,VA
51149,Prince George,VA
51153,Prince William,VA
51155,Pulaski,VA
51157,Rappahannock,VA
51159,Richmond,VA
51161,Roanoke,VA
51163,Rockbridge,VA
51165,Rockingham,VA
51167,Russell,VA
51169,Scott,VA
51171,Shenandoah,VA
51173,Smyth,VA
51175,Southampton,VA
51177,Spotsylvania,VA
51179,Stafford,VA
51181,Surry,VA
51183,Sussex,VA
51185,Tazewell,VA
51187,Warren,VA
51191,Washington,VA
51193,Westmoreland,VA
51195,Wise,VA
51197,Wythe,VA
51199,York,VA
51510,Alexandria City,VA
51515,Bedford City,VA
51520,Bristol City,VA
51530,Buena Vista City,VA
51540,Charlottesville City,VA
51550,Chesapeake City,VA
51560,Clifton Forge City,VA
51570,Colonial Heights Cit,VA
51580,Covington City,VA
51590,Danville City,VA
51595,Emporia City,VA
51600,Fairfax City,VA
51610,Falls Church City,VA
51620,Franklin City,VA
51630,Fredericksburg City,VA
51640,Galax City,VA
51650,Hampton City,VA
51660,Harrisonburg City,VA
51670,Hopewell City,VA
51678,Lexington City,VA
51680,Lynchburg City,VA
51683,Manassas City,VA
51685,Manassas Park City,VA
51690,Martinsville City,VA
51700,Newport News City,VA
51710,Norfolk City,VA
51720,Norton City,VA
51730,Petersburg City,VA
51735,Poquoson City,VA
51740,Portsmouth City,VA
51750,Radford City,VA
51760,Richmond City,VA
51770,Roanoke City,VA
51775,Salem City,VA
51780,South Boston City,VA
51790,Staunton City,VA
51800,Suffolk City,VA
51810,Virginia Beach City,VA
51820,Waynesboro City,VA
51830,Williamsburg City,VA
51840,Winchester City,VA
